symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Paediatric,Teething – with fever,Fever with teething; sudden high fever; bright red face; dilated pupils,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Sitting semi-erect, warm room","Light, noise, cold, motion, jar",Hot red flushed face; fever very high; dilated pupils; throbless pulse,Psora,Berries and root Atropa belladonna,Monitor closely in young children,
Paediatric,Bedwetting,Involuntary urination in sleep; first deep sleep; cold; worms,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,
Women's Health,Irregular periods – scanty,Scanty late periods; chilly; weeping; changeable symptoms,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold, gentle motion","Warm room, evening, rich food",Weepy mild yielding disposition; thirstless; delayed menses from cold feet,Psora/Sycosis,Whole plant Pulsatilla nigricans,Classic Pulsatilla type,
Women's Health,Irregular periods – scanty,Scanty late periods; chilly; weeping; changeable symptoms,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold, gentle motion","Warm room, evening, rich food",Weepy mild yielding disposition; thirstless; delayed menses from cold feet,Psora/Sycosis,Whole plant Pulsatilla nigricans,Classic Pulsatilla type,
Paediatric,Tonsillitis,Right-sided or right-to-left sore throat; tonsils enlarged; painful swallowing,Lycopodium clavatum,Club Moss,30C,3–5 pellets,3 times daily,"Warm drinks, motion","Right side, 4–8 pm",Symptoms travel right to left; fan-like motion of nostrils; flatulence,Psora/Sycosis,Spores Lycopodium clavatum,Right to left is keynote,
Dental,Abscess – dental,Dental abscess; swollen face; extreme pain; worse cold; wants to wrap face,Hepar sulphuris calcareum,Calcium Sulphide,6C (promotes drainage),3–5 pellets,3 times daily,Warmth,"Cold, drafts, touch",Promotes suppuration; splinter-like pains; offensive pus; hypersensitive,Psora,Calcium sulphide compound,6C promotes; 200C can abort abscess,
Cardiovascular,Anaemia,Weakness; pallor; palpitations; dyspnoea; from blood loss or poor nutrition,Ferrum metallicum,Iron,30C,3–5 pellets,Twice daily,"Slow motion, heat","Rest, cold, eating at midnight",Pseudo-plethora (flushes easily); anaemia; hammering headache; weakness,Psora,Iron metal Fe,Flushing easily despite anaemia is keynote,
Fever,Fever with bone pain,Fever with deep bone aching; chills up and down spine; thirst only during chill,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,
Digestive,Flatulence,Excessive gas; bloated abdomen; worse after eating; cannot pass gas,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,
Respiratory,Common Cold – bland nasal discharge,Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3–4 times daily,"Indoors, dim light","Open air, wind, light",Acrid eye discharge + bland nasal discharge (opposite of Allium cepa),Psora,Whole plant Euphrasia officinalis,Especially for eye symptoms,
Digestive,Constipation – no urge,Constipation with absolutely no desire for stool; large hard dry stool; shy rectum,Opium,Opium Poppy,30C,3–5 pellets,Once or twice daily,"Cold water, uncovering","Warmth, stimulants",Inactivity of bowels; stool like black balls; painless; indifferent,Psora/Syphilis,Dried latex Papaver somniferum,Inactivity is keynote,
Musculoskeletal,Carpal tunnel syndrome,Numbness tingling hands; worse at night; worse cold; better motion,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Stiffness on waking; restless; repetitive strain pattern,Psora,Leaves Toxicodendron radicans,Consider alongside Causticum,
Respiratory,Common Cold – profuse watery discharge,Excoriating nasal discharge; bland eye discharge; worse indoors; better open air,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,
Paediatric,Tonsillitis,Right-sided or right-to-left sore throat; tonsils enlarged; painful swallowing,Lycopodium clavatum,Club Moss,30C,3–5 pellets,3 times daily,"Warm drinks, motion","Right side, 4–8 pm",Symptoms travel right to left; fan-like motion of nostrils; flatulence,Psora/Sycosis,Spores Lycopodium clavatum,Right to left is keynote,
Mental,Fear of death,Sudden acute fear of death; anxiety; restlessness; panic attack,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute,"Open air, rest","Midnight, cold, fright",Predicts time of death; extreme anxiety; thirst; hot skin,Psora,Fresh plant Aconitum napellus,,
Digestive,Hepatitis,Liver enlarged and tender; jaundice; nausea; worse fatty foods,Lycopodium clavatum,Club Moss,30C,3–5 pellets,Twice daily,"Warm drinks, cold applications","4–8 pm, tight clothing, right side",Bloating; flatulence; liver and kidney affections; 4–8 pm aggravation,Psora/Sycosis,Spores Lycopodium clavatum,Time aggravation 4–8 pm is keynote,
Skin,Herpes – simplex,"Burning vesicular eruptions around mouth; worse fever, sun exposure",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Continuous motion, warmth","Rest, cold, first motion",Intense itching and burning; restlessness; triangle of red on tip of tongue,Psora/Sycosis,Leaves Toxicodendron radicans,Classic for herpes and shingles,
Respiratory,Common Cold – profuse watery discharge,Excoriating nasal discharge; bland eye discharge; worse indoors; better open air,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,
Neurological,Depression – grief,Depression after grief or loss; brooding; cannot cry; feels forsaken,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, fasting, sweating","Seashore, heat, consolation, 9–11 am",Ailments from grief; cannot cry in public; introvert; thirst++; maps tongue,Psora,Sodium chloride NaCl,Never well since grief,
Neurological,Insomnia – from overactive mind,Cannot sleep; mind overactive with business thoughts; wakeful 3 am,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,
Digestive,Constipation,No urge for stool; hard dry stool; ineffectual urging; sedentary lifestyle,Nux vomica,Poison Nut,30C,3–5 pellets,Twice daily,"Open air, damp weather","Morning, mental exertion, stimulants",Constant ineffectual urging; irritable bowel; incomplete evacuation feeling,Psora,Seeds Strychnos nux-vomica,Classic sedentary person remedy,
Skin,Eczema – weeping,Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,
Women's Health,Menopause – hot flushes,Hot flushes; sweating; irritability; fatigue; worse before menses,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,Twice daily,"Cold application, open air","Sleep, touch, pressure, hot drinks",Left-sided; worse after sleep; talkative; suspicious; jealous; heat flushes,Syphilis,Venom Lachesis muta snake,Classic menopausal remedy,
Neurological,Headache – congestive,Bursting headache; must hold head; worse stooping; better cold application,Gloninum,Nitroglycerin,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Sun, heat, exertion",Surging of blood to head; cannot bear anything on head; confused,Psora,Nitroglycerin compound,Sunstroke remedy,
Digestive,Constipation – no urge,Constipation with absolutely no desire for stool; large hard dry stool; shy rectum,Opium,Opium Poppy,30C,3–5 pellets,Once or twice daily,"Cold water, uncovering","Warmth, stimulants",Inactivity of bowels; stool like black balls; painless; indifferent,Psora/Syphilis,Dried latex Papaver somniferum,Inactivity is keynote,
Trauma,Lacerated wounds,Lacerations; cuts; incisions; nerve-rich areas; paper cuts; surgery recovery,Hypericum perforatum,St John's Wort,30C,3–5 pellets,Every 2–4 hrs,,"Touch, motion, cold, damp",Shooting pains along nerve paths; extremely sensitive nerve injuries,Psora,Whole plant Hypericum perforatum,The Arnica of the nerve endings,
Mental,Fear of death,Sudden acute fear of death; anxiety; restlessness; panic attack,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute,"Open air, rest","Midnight, cold, fright",Predicts time of death; extreme anxiety; thirst; hot skin,Psora,Fresh plant Aconitum napellus,,
Paediatric,Tonsillitis – left-sided,Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,
Musculoskeletal,Backache – better lying,Backache with great weakness; must lie down; worse standing; better pressure,Nux vomica,Poison Nut,30C,3–5 pellets,3 times daily,"Lying, warm applications","Morning, mental exertion, cold",Spasmodic backache; cannot turn in bed; must sit up to turn,Psora,Seeds Strychnos nux-vomica,Spasmodic element is keynote,
ENT,Conjunctivitis – burning,Intense burning and photophobia; acrid discharge; worse light,Euphrasia officinalis,Eyebright,30C / Euphrasia eye drops,3–5 pellets + 2 drops in eye,3 times daily,"Dim light, indoors","Light, wind, open air",Burning acrid eye discharge; bland nasal discharge,Psora,Whole plant Euphrasia officinalis,Classic eye remedy,
Neurological,Headache – tension,Dull heavy headache; pressure at base of skull; from overwork; better sleep,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily,"Urination, stimulants, sleep","Damp, anticipation, emotional shock",Band-like headache; heavy eyelids; dizziness; weakness; no thirst,Psora,Root bark Gelsemium sempervirens,Exam anxiety headache,
Trauma,Shock after injury,Shock; cold sweat; collapse; cold surface; pulse thready; internal haemorrhage,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,Every 15 min in emergency,"Cold air, fanning, eructation",Warmth,Air hunger; cold breath; wants to be fanned; vitalforce very low,Psora,Vegetable charcoal,The 'corpse reviver' – seek emergency care also,
Skin,Boils/Furuncles,Boils with much pus formation; extremely sensitive to touch and cold,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,
Trauma,Post-surgical recovery,After surgery; prevents sepsis; promotes healing; reduces bruising from incisions,Staphysagria,Stavesacre,30C,3–5 pellets,Twice daily for 1 week post surgery,,,Incised wounds; consequences of surgical procedures; indignation; hypersensitivity,Psora,Seeds Delphinium staphisagria,Classic post-surgical remedy after Arnica,
ENT,Earache – throbbing,Throbbing earache; high fever; worse right side; child cries out in sleep,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Warmth, semi-erect position","Motion, jar, light, noise",Sudden onset; high fever; hot red face; drum-like fullness,Psora,Berries and root Atropa belladonna,Classic otitis media remedy,
Neurological,Insomnia – from overactive mind,Cannot sleep; mind overactive with business thoughts; wakeful 3 am,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,
Women's Health,PCOS,Irregular periods; acne; weight gain; hirsutism; mood changes,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,
Respiratory,Pleurisy,Stitching pain in chest; worse breathing and motion; must lie on painful side,Bryonia alba,White Bryony,200C,3–5 pellets,Twice daily,"Rest, lying on painful side, pressure","Motion, deep breath, 9 pm",Dryness; thirst for large quantities; irritable; wants to be left alone,Psora,Root Bryonia alba,Absolute rest is keynote,
Neurological,Anxiety,Anticipatory anxiety; fear of exams or performance; trembling weakness,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,
Neurological,Anxiety,Anticipatory anxiety; fear of exams or performance; trembling weakness,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,
Musculoskeletal,Gout,Acute gout; hot red swollen toe joint; intolerant of least touch; tearing pains,Colchicum autumnale,Meadow Saffron,30C,3–5 pellets,Every 2–3 hrs in acute,Rest,"Touch, motion, evening, night",Extreme sensitivity to touch; nausea from smell of cooking; uric acid deposits,Psora/Sycosis,Corm Colchicum autumnale,Smell of food causes nausea is keynote,
Neurological,Anxiety,Anticipatory anxiety; fear of exams or performance; trembling weakness,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,
Musculoskeletal,Sprains – tendons and ligaments,"Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,
Mental,Fear of death,Sudden acute fear of death; anxiety; restlessness; panic attack,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute,"Open air, rest","Midnight, cold, fright",Predicts time of death; extreme anxiety; thirst; hot skin,Psora,Fresh plant Aconitum napellus,,
Musculoskeletal,Osteoporosis,Bone pain; easy fractures; deficient nutrition absorption; sweaty cold feet,Silicea,Pure Silica,30C,3–5 pellets,Twice daily,"Warmth, summer","Cold, damp, new moon",Malnutrition despite eating; lack of grit; fistulous ulcers; cold sweaty feet,Psora,Pure silicon dioxide,Deep nutritional remedy,
Dental,Toothache – worse warmth,Toothache worse from warmth; better cold water; worse at night,Coffea cruda,Unroasted Coffee,30C,3–5 pellets,Every 30–60 min in acute,Cold water held in mouth,"Warmth, night, excitement",Intolerance of pain; sleeplessness; excessive sensitiveness; toothache in nursing,Psora,Unroasted Coffea arabica,Cold water held in mouth relieves,
Neurological,Depression – grief,Depression after grief or loss; brooding; cannot cry; feels forsaken,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, fasting, sweating","Seashore, heat, consolation, 9–11 am",Ailments from grief; cannot cry in public; introvert; thirst++; maps tongue,Psora,Sodium chloride NaCl,Never well since grief,
Infections,Chickenpox,Itching vesicular eruptions; worse at night; one crop follows another,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Intense itch; restlessness; triangular red tip of tongue,Psora,Leaves Toxicodendron radicans,Classic chickenpox remedy,
Respiratory,Common Cold – bland nasal discharge,Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3–4 times daily,"Indoors, dim light","Open air, wind, light",Acrid eye discharge + bland nasal discharge (opposite of Allium cepa),Psora,Whole plant Euphrasia officinalis,Especially for eye symptoms,
Fever,High fever – sudden onset,Sudden high fever after cold dry wind; hot dry skin; extreme restlessness and fear,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in early acute stage,"Open air, rest, perspiration","Cold dry wind, midnight, fright",Fear of death; predicts own death; thirst for cold water; no perspiration,Psora,Fresh plant Aconitum napellus,Only in very early stage,
Musculoskeletal,Sprains – tendons and ligaments,"Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,
Respiratory,Croup,Barking croupy cough; worse before midnight; child wakes frightened,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute phase,"Cool air, rest","Midnight, cold dry wind",Sudden onset after cold dry wind exposure; fear and anxiety,Psora,Fresh plant Aconitum napellus,Often alternated with Hepar sulph,
Digestive,Constipation,No urge for stool; hard dry stool; ineffectual urging; sedentary lifestyle,Nux vomica,Poison Nut,30C,3–5 pellets,Twice daily,"Open air, damp weather","Morning, mental exertion, stimulants",Constant ineffectual urging; irritable bowel; incomplete evacuation feeling,Psora,Seeds Strychnos nux-vomica,Classic sedentary person remedy,
Women's Health,Dysmenorrhoea – cramping,Severe uterine cramping; better bending double and pressure; worse after anger,Colocynthis,Bitter Cucumber,30C,3–5 pellets,Every 30–60 min in acute,"Bending double, hard pressure","Anger, 4 pm",Agonising cramps; screams with pain; clutches abdomen,Psora,Pulp Citrullus colocynthis,Cramping relieved by pressure keynote,
Skin,Herpes – zoster (shingles),Burning neuralgic pain along nerve; vesicles; post-herpetic neuralgia,Ranunculus bulbosus,Buttercup,30C,3–5 pellets,3–4 times daily,Rest,"Wet weather, motion",Intercostal neuralgia; burning and itching vesicles; sore bruised feeling,Psora,Bulb Ranunculus bulbosus,Specific for intercostal herpes zoster,
Digestive,Vomiting after eating,Vomiting immediately after eating; cannot keep anything down; nausea,Phosphorus,Phosphorus,30C,3–5 pellets,Every 2–3 hrs,"Cold drinks, cold food",Warm drinks (vomit when they become warm),Desires cold drinks which are then vomited when they become warm,Psora/Tubercular,Phosphorus element,Tall slender individuals,
Respiratory,Influenza,Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,Every 3–4 hrs,"Stimulants, sweating","Damp weather, emotion, bad news",Droopy eyes; weakness; dizziness; no thirst despite fever,Psora,Root bark Gelsemium sempervirens,Classic flu remedy; anticipatory anxiety,
Paediatric,Tonsillitis – left-sided,Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,
Neurological,Insomnia – from overactive mind,Cannot sleep; mind overactive with business thoughts; wakeful 3 am,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,
Respiratory,Whooping cough,Paroxysmal cough ends in vomiting; child stiffens and turns blue during cough,Drosera rotundifolia,Sundew,30C,3–5 pellets,Every 2–4 hrs,Open air,"Lying down, after midnight, warmth",Cough as soon as head touches pillow; barking; holds sides when coughing,Tubercular,Whole plant Drosera rotundifolia,Hahnemann's chief remedy for whooping cough,
Metabolic,Obesity,Obesity in fair chilly sweaty patients; craves eggs; cold sweaty hands; fatigue,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold, damp, full moon",Obesity; cold intolerance; phlegmatic; slow; stubborn; sweaty head,Psora,Middle layer oyster shell Ostrea edulis,Constitutional remedy,
Infections,Measles,Early measles; hard dry cough; fever; photophobia; watery eyes,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3 times daily,Dim light,"Light, open air",Acrid eye discharge; photophobia; coryza; cough; fever,Psora,Whole plant Euphrasia officinalis,Consult physician for measles,
Respiratory,Yellow–green thick expectoration,Thick yellow–green non-irritating discharge; loss of smell; worse warm room,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold, motion","Warm stuffy room, evening",Changeable symptoms; weepy mild disposition; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,One of the most frequently used polychrests,
ENT,Conjunctivitis – purulent,Purulent thick yellow-green discharge; worse morning; eyes stuck shut,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold applications","Warm room, evening",Bland non-irritating discharge; mild disposition; weepy; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,,
Musculoskeletal,Carpal tunnel syndrome,Numbness tingling hands; worse at night; worse cold; better motion,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Stiffness on waking; restless; repetitive strain pattern,Psora,Leaves Toxicodendron radicans,Consider alongside Causticum,
Respiratory,Common Cold – profuse watery discharge,Excoriating nasal discharge; bland eye discharge; worse indoors; better open air,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,
Paediatric,Colic – wind,Baby draws legs up with pain; wind; gas; better warmth,Magnesia phosphorica,Magnesium Phosphate,30C dissolved in warm water,3–5 pellets,Every 15–30 min,"Warmth, pressure, warm drinks","Cold, night",Cramping; flatulent colic; better warmth and pressure applied,Psora,Magnesium phosphate salt,Dissolve in warm water for colic,
ENT,Earache – throbbing,Throbbing earache; high fever; worse right side; child cries out in sleep,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Warmth, semi-erect position","Motion, jar, light, noise",Sudden onset; high fever; hot red face; drum-like fullness,Psora,Berries and root Atropa belladonna,Classic otitis media remedy,
Metabolic,Hypothyroidism,Weight gain; cold intolerance; fatigue; hair loss; constipation; mental dullness,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold, damp, exertion, new moon",Cold sweaty feet and head; craves eggs; obstinate; slow,Psora,Middle layer oyster shell Ostrea edulis,Classic hypothyroid constitution,
Neurological,Insomnia – from overactive mind,Cannot sleep; mind overactive with business thoughts; wakeful 3 am,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,
Urinary,Bedwetting – enuresis,Bedwetting in children; worse first sleep; dreams of urinating; cold,Equisetum hyemale,Scouring Rush,30C,3–5 pellets,At bedtime,,"Right side, motion",Dull pain in bladder not relieved by urination; no definite cause,Psora,Whole plant Equisetum hyemale,No clear pathology but persistent enuresis,
Skin,Vitiligo,White patches on skin; loss of pigmentation; nervous system involvement,Arsenicum sulphuratum flavum,Arsenic Trisulphide,30C,3–5 pellets,Twice daily,Warmth,"Cold, night",Skin complaints with nervous symptoms; malnourishment,Psora/Syphilis,Arsenic trisulphide compound,Constitutional treatment required,
Trauma,Lacerated wounds,Lacerations; cuts; incisions; nerve-rich areas; paper cuts; surgery recovery,Hypericum perforatum,St John's Wort,30C,3–5 pellets,Every 2–4 hrs,,"Touch, motion, cold, damp",Shooting pains along nerve paths; extremely sensitive nerve injuries,Psora,Whole plant Hypericum perforatum,The Arnica of the nerve endings,
Respiratory,Rattling loose cough,Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am,Antimonium tartaricum,Tartar Emetic,30C,3–5 pellets,Every 2–3 hrs,"Sitting up, eructation","Lying down, 4 am, warmth",Rattling chest; extreme weakness; pale and sweaty,Sycosis,Tartrate of antimony and potash,Keynote: rattling with inability to raise mucus,
Musculoskeletal,Gout,Acute gout; hot red swollen toe joint; intolerant of least touch; tearing pains,Colchicum autumnale,Meadow Saffron,30C,3–5 pellets,Every 2–3 hrs in acute,Rest,"Touch, motion, evening, night",Extreme sensitivity to touch; nausea from smell of cooking; uric acid deposits,Psora/Sycosis,Corm Colchicum autumnale,Smell of food causes nausea is keynote,
Skin,Psoriasis,Thick silvery scales; red patches; worse in winter; itching,Arsenicum iodatum,Arsenic Iodide,30C,3–5 pellets,Twice daily,"Dry weather, motion","Cold, winter, night",Persistent irritating corrosive discharge; emaciation; psoriatic arthritis,Tubercular,Arsenic iodide compound,Deep acting for resistant psoriasis,
